From,To,Term,Result,Score
Chemical Name,InChIKey,"3-(3-hydroxy-phenyl)propionate",QVWAEZJXDYOKEH-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",OCLCLRXKNJCOJD-UMMCILCDSA-L,1
Chemical Name,InChIKey,"Inner core oligosaccharide lipid A (E coli)",YKVGZDADLKRSPK-YRCDCJNSSA-C,1
Chemical Name,InChIKey,"L-Tyrosine",OUYCCCASQSFEME-QMMMGPOBSA-N,1
Chemical Name,InChIKey,"Trehalose",HDTRYLNUVZCQOY-LIZSDCNHSA-N,1
Chemical Name,InChIKey,"Dihydroxyacetone",RXKJFZQQPQGTFL-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"D-Glucose",WQZGKKKJIJFFOK-GASJEMHNSA-N,1
Chemical Name,InChIKey,"L-Homoserine",UKAUYVFTDYCKQA-VKHMYHEASA-N,1
Chemical Name,InChIKey,"Octadecanoyl-ACP (n-C18:0ACP)",GFFGJBXGBJISGV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2(alpha-D-Mannosyl)-D-glycerate",DDXCFDOPXBPUJC-SAYMMRJXSA-N,1
Chemical Name,InChIKey,"Glycerophosphoserine",ZWZWYGMENQVNFU-AKGZTFGVSA-N,0
Chemical Name,InChIKey,"Acetaldehyde",IKHGUXGNUITLKF-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"UDP-N-acetylmuramate",NQBRVZNDBBMBLJ-MQTLHLSBSA-N,1
Chemical Name,InChIKey,"D-biotin d-sulfoxide",KCSKCIQYNAOBNQ-YBSFLMRUSA-N,1
Chemical Name,InChIKey,"Orotate C5H3N2O4",PXQPEWDEAKTCGB-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",BIABMEZBCHDPBV-MPQUPPDSSA-M,1
Chemical Name,InChIKey,"XTP",CAEFEWVYEZABLA-UUOKFMHZSA-N,1
Chemical Name,InChIKey,"Decanoate (n-C10:0)",GHVNFZFCNZKVNT-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"UDP-4-keto-pyranose",URJZIQLTPCJVMW-QNSCKLTRSA-L,0
Chemical Name,InChIKey,"D-Sorbitol 6-phosphate",GACTWZZMVMUKNG-SLPGGIOYSA-N,1
Chemical Name,InChIKey,"Phenylpyruvate",BTNMPGBKDVTSJY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2-Dehydro-3-deoxy-D-gluconate",WPAMZTWLKIDIOP-WVZVXSGGSA-N,1
Chemical Name,InChIKey,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",QNAYBMKLOCPYGJ-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Gamma-glutamyl-putrescine",WKGTVHGVLRCTCF-ZETCQYMHSA-N,1
Chemical Name,InChIKey,"Hepta-acylated core oligosaccharide lipid A (E. coli)",OIRDTQYFTABQOQ-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"1-dodecanoyl-sn-glycerol 3-phosphate",STTKJLVEXMKLNA-CQSZACIVSA-L,1
Chemical Name,InChIKey,"Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)",OIFBSDVPJOWBCH-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",JFBCSFJKETUREV-LJAQVGFWSA-N,1
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)",LUTDZDAPSDZVAL-RBUKOAKNSA-M,1
Chemical Name,InChIKey,"Cys Gly C5H10N2O3S",DHMQDGOQFOQNFH-UHFFFAOYSA-N,1
